,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
12573,104,99,122.0,4.49897,1,0,2,5,v.dark purple
12574,134,93,43.333,3.56329,1,7,1,2,light purple
12575,60,35,12.0,3.79206,0,0,0,0,pink
12576,164,90,88.667,3.37884,5,7,1,2,light purple
12577,115,78,125.0,3.29949,0,2,1,5,v.dark purple
12578,90,84,44.0,3.38361,0,3,2,2,light purple
12579,120,104,54.0,2.62691,1,6,0,2,light purple
12580,156,156,65.0,4.24833,1,2,1,1,v.light purple
12581,202,110,30.667,3.3134,4,3,0,1,v.light purple
12582,115,86,30.667,3.40043,0,2,0,2,light purple
12583,122,91,22.667,3.79145,0,0,0,2,light purple
12584,88,49,16.0,4.12348,2,0,0,0,pink
12585,55,55,99.333,3.51379,0,0,0,0,pink
12586,161,140,24.667,3.50827,0,0,0,1,v.light purple
12587,198,115,180.0,3.53308,1,7,1,5,v.dark purple
12588,171,116,37.333,4.48888,0,0,0,1,v.light purple
12589,118,118,129.333,3.19865,0,1,0,5,v.dark purple
12590,111,81,438.167,3.25636,0,9,1,3,purple
12591,161,108,35.333,3.41226,0,5,0,2,light purple
12592,98,51,119.333,2.8552,2,2,4,5,v.dark purple
12593,62,34,38.667,3.56072,0,1,0,0,pink
12594,106,49,46.667,3.42448,0,0,0,2,light purple
12595,105,63,161.333,1.682,3,5,3,5,v.dark purple
12596,183,183,98.0,4.52254,4,7,1,1,v.light purple
12597,152,91,66.667,2.94951,0,0,2,2,light purple
12598,184,144,100.0,4.9735,0,3,1,1,v.light purple
12599,78,78,200.0,3.73056,0,4,2,5,v.dark purple
12600,90,68,466.667,3.13538,2,9,2,3,purple
12601,118,118,134.167,4.14551,1,2,0,5,v.dark purple
12602,150,129,56.0,3.12547,0,0,0,1,v.light purple
12603,108,64,234.667,3.57775,0,0,2,5,v.dark purple
12604,150,103,124.0,3.02038,1,15,1,5,v.dark purple
12605,120,72,102.667,3.28537,0,6,0,5,v.dark purple
12606,122,82,14.667,2.75925,1,0,1,2,light purple
12607,82,82,119.5,4.27752,3,4,1,5,v.dark purple
12608,148,104,43.333,4.10788,0,4,0,2,light purple
12609,60,39,50.667,2.43762,4,6,0,0,pink
12610,120,71,36.0,3.72742,2,9,0,2,light purple
12611,119,90,140.333,2.97437,1,8,2,5,v.dark purple
12612,115,93,118.667,4.21217,1,3,1,5,v.dark purple
12613,120,108,36.667,3.15057,0,0,0,2,light purple
12614,88,59,16.0,3.57136,0,0,0,0,pink
12615,132,105,93.333,3.2733,0,3,0,2,light purple
12616,180,135,355.833,2.90199,1,9,5,3,purple
12617,78,78,23.333,3.5296,1,11,0,0,pink
12618,94,49,38.667,2.70334,0,6,0,0,pink
12619,130,110,150.667,3.35902,0,4,1,5,v.dark purple
12620,120,109,53.333,3.83865,1,2,0,2,light purple
12621,202,117,580.833,2.89749,4,73,8,3,purple
12622,78,79,73.333,3.12138,0,0,0,2,light purple
12623,128,102,48.0,3.1869,0,0,0,2,light purple
12624,150,125,96.0,2.84186,3,6,0,1,v.light purple
12625,95,95,47.333,3.79205,0,2,0,2,light purple
12626,68,123,28.0,3.02321,1,1,0,2,light purple
12627,100,82,26.667,3.15418,0,1,0,2,light purple
12628,136,82,29.333,3.34282,0,0,0,2,light purple
12629,120,62,366.833,4.34514,11,22,7,3,purple
12630,101,51,26.667,3.21745,0,0,0,0,pink
12631,142,86,84.0,3.19162,0,3,0,2,light purple
12632,143,126,36.667,4.74351,0,0,0,2,light purple
12633,225,212,38.0,3.72734,0,4,0,1,v.light purple
12634,74,36,164.667,4.15499,1,2,1,5,v.dark purple
12635,70,50,105.333,4.02626,0,0,0,0,pink
12636,62,40,17.333,3.16318,0,0,0,0,pink
12637,108,38,136.0,3.5253,3,5,2,5,v.dark purple
12638,120,76,72.0,2.94627,0,0,0,2,light purple
12639,58,32,164.833,4.05556,3,3,3,5,v.dark purple
12640,94,36,14.667,3.14455,0,0,0,0,pink
12641,42,30,74.667,3.21279,0,3,0,0,pink
12642,148,109,16.0,3.68161,0,0,0,2,light purple
12643,52,37,36.0,4.19873,0,0,0,0,pink
12644,41,38,19.333,5.68332,0,0,0,0,pink
12645,120,71,66.667,3.22464,1,0,0,2,light purple
12646,120,62,76.0,3.32913,2,7,0,2,light purple
12647,146,85,88.667,3.12453,1,10,1,2,light purple
12648,142,99,96.667,3.71859,0,2,0,2,light purple
12649,173,100,48.0,3.51494,0,0,0,2,light purple
12650,60,38,75.333,2.11817,0,1,0,0,pink
12651,66,28,92.0,4.44375,1,11,0,0,pink
12652,116,77,47.333,3.82443,0,1,0,2,light purple
12653,117,69,130.667,3.64086,0,2,2,5,v.dark purple
12654,70,70,115.5,3.28377,0,1,4,5,v.dark purple
12655,67,53,62.667,4.45862,0,4,0,0,pink
12656,95,116,95.333,2.42844,1,7,0,2,light purple
12657,97,97,38.667,3.69534,4,2,3,2,light purple
12658,49,23,495.0,7.04879,2,5,0,3,purple
12659,63,38,109.333,3.6882,0,2,4,0,pink
12660,108,57,18.667,4.03649,0,2,0,2,light purple
12661,76,57,221.833,3.20464,0,5,2,5,v.dark purple
12662,72,51,74.667,4.15661,0,3,2,0,pink
12663,120,79,281.5,3.29052,2,2,2,5,v.dark purple
12664,110,39,192.667,3.4085,0,5,4,5,v.dark purple
12665,80,50,166.833,2.75247,4,24,3,5,v.dark purple
12666,92,73,158.5,3.35121,2,5,1,5,v.dark purple
12667,46,42,34.0,3.40826,0,0,0,0,pink
12668,96,69,92.0,4.46327,0,4,0,2,light purple
12669,74,66,190.333,3.77064,0,4,0,5,v.dark purple
12670,176,99,32.0,3.18261,0,0,1,2,light purple
12671,168,125,89.333,4.44776,0,11,0,1,v.light purple
12672,120,68,16.0,3.54944,2,0,1,2,light purple
12673,146,118,44.0,3.55644,0,0,0,2,light purple
12674,122,86,74.0,3.5276,0,0,0,2,light purple
12675,98,38,28.667,3.47776,0,0,0,0,pink
12676,115,76,40.0,3.82199,0,2,0,2,light purple
12677,46,39,44.0,4.21091,0,0,0,0,pink
