,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
2897,129,127,15.333,4.82682,0,0,0,2,light purple
2898,120,114,20.0,4.43832,0,3,1,2,light purple
2899,120,113,22.667,3.47529,0,1,0,2,light purple
2900,72,61,29.333,5.48255,0,0,1,0,pink
2901,180,152,2.0,4.4289,0,0,0,1,v.light purple
2902,65,57,36.667,4.87031,0,5,0,0,pink
2903,120,110,74.0,4.22833,0,5,0,2,light purple
2904,120,103,66.667,4.00905,0,14,0,2,light purple
2905,60,56,24.0,4.0998,0,2,0,0,pink
2906,120,112,27.333,4.08482,0,2,0,2,light purple
2907,104,90,29.333,4.63773,0,9,0,2,light purple
2908,112,100,14.667,5.40907,0,1,6,2,light purple
2909,103,88,31.333,4.94096,0,3,0,2,light purple
2910,180,164,24.0,4.22555,0,3,0,1,v.light purple
2911,180,134,15.333,3.97654,0,2,0,1,v.light purple
2912,180,139,13.333,4.76204,0,2,0,1,v.light purple
2913,100,88,55.333,4.27469,0,2,0,2,light purple
2914,117,104,30.667,4.32051,0,5,1,2,light purple
2915,180,160,54.0,4.81268,0,4,0,1,v.light purple
2916,120,97,76.333,3.74084,0,8,2,2,light purple
2917,179,176,13.333,3.99203,0,3,0,1,v.light purple
2918,85,81,24.667,4.532,0,0,1,2,light purple
2919,120,97,101.833,4.41572,0,19,4,2,light purple
2920,110,103,29.333,3.99637,0,1,0,2,light purple
2921,120,109,58.667,4.96337,0,2,0,2,light purple
2922,120,114,42.0,4.88838,0,5,0,2,light purple
2923,180,150,17.333,4.89016,0,3,0,1,v.light purple
2924,120,99,28.667,3.83175,0,2,0,2,light purple
2925,120,102,30.0,4.28235,0,1,0,2,light purple
2926,120,107,78.667,4.31561,0,6,2,2,light purple
2927,40,37,8.0,4.83358,0,1,0,0,pink
2928,120,112,33.333,4.72659,0,0,0,2,light purple
2929,60,54,8.0,4.47508,0,0,0,0,pink
2930,120,107,41.333,4.16375,0,22,1,2,light purple
2931,276,267,35.333,4.03239,0,1,0,4,dark purple
2932,120,116,16.667,3.95001,0,0,0,2,light purple
2933,132,116,95.0,4.43334,0,11,3,2,light purple
2934,120,109,60.333,4.84733,0,4,1,2,light purple
2935,60,57,76.333,4.11067,0,1,2,0,pink
2936,60,53,15.333,5.1702,0,1,0,0,pink
2937,163,157,56.0,4.5617,0,5,1,1,v.light purple
2938,60,51,26.0,6.8261,0,4,0,0,pink
2939,120,108,42.667,3.82221,0,12,1,2,light purple
2940,120,116,30.0,4.92883,0,1,0,2,light purple
2941,116,104,26.0,3.92898,0,0,0,2,light purple
2942,120,116,5.333,4.32567,0,2,0,2,light purple
2943,85,74,53.333,4.51754,0,0,0,2,light purple
2944,120,117,37.333,3.47769,0,4,1,2,light purple
2945,120,104,13.333,4.11598,0,0,1,2,light purple
2946,120,111,16.0,4.43675,0,1,0,2,light purple
2947,180,175,36.0,4.10419,0,0,0,1,v.light purple
2948,180,167,24.0,3.57914,0,1,0,1,v.light purple
2949,120,116,8.0,4.1602,0,3,0,2,light purple
2950,120,111,48.667,3.8507,0,5,0,2,light purple
2951,120,119,11.333,4.15752,0,1,0,2,light purple
2952,120,117,157.333,3.96534,0,19,1,5,v.dark purple
2953,60,55,8.0,5.24702,0,0,0,0,pink
2954,180,174,106.167,4.48464,0,2,1,1,v.light purple
2955,60,54,8.0,3.92929,0,0,0,0,pink
2956,120,113,245.167,3.8866,0,41,2,5,v.dark purple
2957,120,103,7.333,3.9677,0,2,0,2,light purple
2958,120,110,101.333,3.91979,0,17,2,2,light purple
2959,244,226,12.667,3.95657,0,0,0,1,v.light purple
2960,120,104,49.333,4.05325,0,3,0,2,light purple
2961,120,105,76.667,4.34463,0,11,3,2,light purple
2962,180,172,13.333,3.87746,0,1,0,1,v.light purple
2963,310,296,14.0,4.57741,0,1,0,4,dark purple
2964,120,102,9.333,4.418,0,0,0,2,light purple
2965,142,115,14.0,4.20435,0,1,0,2,light purple
2966,120,112,38.0,3.39994,0,7,1,2,light purple
2967,120,105,78.667,4.06713,0,15,1,2,light purple
2968,120,98,34.0,4.83253,0,6,0,2,light purple
2969,177,149,30.0,4.01451,0,1,0,1,v.light purple
2970,65,58,31.333,5.22847,0,2,0,0,pink
2971,120,109,76.0,3.71105,0,5,1,2,light purple
2972,120,101,21.333,4.03898,0,1,0,2,light purple
2973,180,172,40.667,4.22491,0,2,0,1,v.light purple
2974,79,64,68.667,4.36457,0,1,0,0,pink
2975,131,110,20.0,4.11894,0,1,0,2,light purple
2976,120,116,45.333,4.03569,0,6,2,2,light purple
2977,110,86,47.333,3.82667,0,4,1,2,light purple
2978,120,104,30.667,5.66946,0,2,0,2,light purple
2979,120,108,63.0,3.59791,0,8,3,2,light purple
2980,93,81,2.667,4.46146,0,0,0,2,light purple
2981,177,175,200.0,4.52061,0,0,7,5,v.dark purple
2982,109,108,42.667,3.63199,0,1,0,2,light purple
2983,150,140,42.667,3.37297,0,3,2,1,v.light purple
2984,120,117,20.0,3.71888,0,1,0,2,light purple
2985,274,251,25.333,4.22251,0,1,0,4,dark purple
2986,39,37,13.333,3.95325,0,2,0,0,pink
2987,120,105,53.333,4.12203,0,2,0,2,light purple
2988,120,108,37.333,3.93019,0,1,1,2,light purple
2989,120,117,78.167,4.11183,0,7,1,2,light purple
2990,100,94,16.0,3.60521,0,0,0,2,light purple
2991,180,152,14.0,4.4109,0,1,0,1,v.light purple
2992,96,85,26.0,4.70665,0,5,0,2,light purple
2993,135,130,16.0,4.12397,0,2,0,2,light purple
2994,60,57,1.333,4.36704,0,0,0,0,pink
2995,406,350,51.333,3.73471,0,14,2,4,dark purple
2996,155,142,15.333,4.08045,0,1,1,1,v.light purple
2997,120,110,27.333,3.73222,0,4,1,2,light purple
2998,120,109,54.667,3.49366,0,0,0,2,light purple
2999,120,113,7.333,4.57747,0,0,0,2,light purple
3000,120,111,46.667,4.12289,0,1,1,2,light purple
3001,120,118,42.667,3.65091,0,0,0,2,light purple
3002,120,108,37.333,3.78718,0,0,0,2,light purple
3003,120,108,32.667,4.55563,0,1,0,2,light purple
3004,120,105,18.667,3.95464,0,4,0,2,light purple
3005,57,50,19.333,4.52802,0,2,1,0,pink
3006,120,119,52.0,3.53074,0,12,0,2,light purple
3007,113,98,20.0,4.36984,0,0,0,2,light purple
3008,120,108,31.333,4.27863,0,2,0,2,light purple
3009,60,51,18.667,4.19111,0,4,0,0,pink
3010,120,106,26.667,4.35654,0,1,0,2,light purple
3011,120,91,24.667,5.49359,0,3,0,2,light purple
3012,159,142,416.667,4.57122,0,8,2,3,purple
3013,101,79,10.0,6.03508,0,0,0,2,light purple
3014,120,97,10.667,5.29537,0,0,0,2,light purple
3015,115,107,17.333,4.31174,0,1,0,2,light purple
3016,120,114,23.333,4.36496,0,0,0,2,light purple
3017,120,106,24.667,3.54426,0,10,0,2,light purple
3018,81,73,59.333,4.6082,0,5,0,2,light purple
3019,120,101,59.333,3.99994,0,4,1,2,light purple
3020,120,109,10.667,4.17163,0,0,0,2,light purple
3021,120,103,129.333,4.27016,0,30,3,5,v.dark purple
3022,60,50,13.333,4.32458,0,0,0,0,pink
3023,90,84,42.667,4.11421,0,6,1,2,light purple
3024,120,109,2.0,4.37832,0,0,0,2,light purple
3025,29,26,43.333,3.0545,0,0,0,0,pink
3026,120,76,50.0,3.94815,0,7,2,2,light purple
3027,138,121,38.667,3.69542,0,0,0,2,light purple
3028,168,132,39.333,5.5323,0,9,1,1,v.light purple
3029,98,76,4.667,4.68031,0,0,0,2,light purple
3030,30,20,38.0,4.33188,0,1,0,0,pink
3031,120,116,50.0,1.53091,0,5,2,2,light purple
3032,120,90,15.333,3.90048,0,0,0,2,light purple
3033,120,100,51.333,4.19259,0,8,3,2,light purple
3034,120,112,92.0,4.20905,0,2,0,2,light purple
3035,60,51,39.667,4.64902,0,2,1,0,pink
3036,48,42,16.0,5.47234,0,0,0,0,pink
3037,120,110,32.0,3.66006,0,3,0,2,light purple
3038,60,49,26.0,5.23297,0,0,0,0,pink
3039,120,110,16.0,4.11556,0,6,0,2,light purple
3040,129,116,35.333,3.58966,0,2,0,2,light purple
3041,120,108,17.333,4.00532,0,0,0,2,light purple
3042,120,102,116.833,4.78978,0,20,2,5,v.dark purple
3043,219,190,19.333,4.97245,0,1,0,1,v.light purple
3044,145,137,30.0,4.27623,0,18,0,1,v.light purple
3045,120,111,38.667,3.90111,0,18,2,2,light purple
3046,120,109,24.0,3.9685,0,1,0,2,light purple
3047,120,110,57.667,4.42479,0,5,2,2,light purple
3048,120,114,79.333,4.02117,0,12,0,2,light purple
3049,92,81,23.333,5.94272,0,2,0,2,light purple
3050,40,36,52.333,5.73574,0,1,2,0,pink
3051,120,95,8.0,4.17818,0,0,0,2,light purple
3052,118,90,62.0,4.32514,0,1,1,2,light purple
3053,161,138,27.333,5.20361,0,2,1,1,v.light purple
3054,120,111,36.667,4.2834,0,10,0,2,light purple
3055,24,23,22.0,4.79306,0,0,0,0,pink
3056,60,54,29.333,4.55758,0,0,0,0,pink
3057,36,29,32.667,6.51295,0,0,0,0,pink
3058,60,58,13.333,5.13941,0,1,0,0,pink
3059,120,104,32.667,4.63502,0,0,0,2,light purple
3060,104,91,26.667,4.01513,0,1,1,2,light purple
3061,120,99,30.667,5.42018,0,1,0,2,light purple
3062,108,98,50.0,5.12314,0,5,0,2,light purple
3063,120,106,34.667,4.34631,0,0,0,2,light purple
3064,60,38,63.333,4.50859,0,5,0,0,pink
3065,60,56,35.333,4.80719,0,11,1,0,pink
3066,58,51,6.0,5.94087,0,0,0,0,pink
3067,30,28,31.333,4.99352,0,0,0,0,pink
3068,56,39,22.667,6.16164,0,1,0,0,pink
3069,120,106,71.333,4.36409,0,13,0,2,light purple
3070,60,52,8.667,5.59405,0,1,0,0,pink
3071,90,87,37.333,4.02248,0,8,0,2,light purple
3072,140,94,18.667,4.33362,0,2,0,2,light purple
3073,120,116,33.333,4.97142,0,3,0,2,light purple
3074,116,108,28.667,4.30822,0,2,0,2,light purple
3075,120,119,21.333,3.41081,0,3,0,2,light purple
3076,120,118,24.667,5.81758,0,1,0,2,light purple
3077,60,56,25.333,3.64248,0,1,1,0,pink
3078,120,109,30.0,4.22023,0,5,1,2,light purple
3079,120,109,19.333,3.46617,0,1,0,2,light purple
3080,120,106,338.667,4.50716,0,22,2,3,purple
3081,60,48,44.0,4.14097,0,5,0,0,pink
3082,120,102,32.667,4.40338,0,0,1,2,light purple
3083,113,103,30.667,7.06663,0,0,1,2,light purple
3084,96,82,10.0,4.07873,0,2,0,2,light purple
3085,120,85,16.0,4.72587,0,3,0,2,light purple
3086,32,23,23.333,5.23077,0,0,1,0,pink
3087,120,106,81.5,3.74933,0,8,1,2,light purple
3088,116,111,125.333,2.20533,0,9,1,5,v.dark purple
3089,119,110,39.333,4.11183,0,1,0,2,light purple
3090,59,55,27.333,4.2085,0,3,0,0,pink
3091,167,146,149.0,4.30801,0,8,2,5,v.dark purple
3092,120,111,22.667,3.49905,0,4,0,2,light purple
3093,73,68,14.667,4.2739,0,5,0,0,pink
3094,120,111,26.667,1.67011,0,0,0,2,light purple
3095,88,77,18.667,4.31904,0,0,0,2,light purple
3096,180,168,26.667,4.79356,0,2,0,1,v.light purple
3097,180,167,80.667,4.75001,0,8,3,1,v.light purple
3098,59,38,85.667,6.92004,0,5,1,0,pink
3099,120,114,63.333,3.89499,0,10,2,2,light purple
3100,114,84,50.667,5.22028,0,6,1,2,light purple
3101,120,101,22.667,4.17793,0,4,1,2,light purple
3102,80,73,22.0,4.32853,0,5,0,0,pink
3103,120,117,32.0,3.88068,0,0,0,2,light purple
3104,39,27,22.667,4.29056,0,1,1,0,pink
3105,52,38,50.333,3.90827,0,6,1,0,pink
3106,180,171,16.667,3.89125,0,0,0,1,v.light purple
3107,60,56,13.333,4.34834,0,1,0,0,pink
3108,120,115,63.333,4.19388,0,14,2,2,light purple
3109,56,41,34.667,6.91804,0,0,2,0,pink
3110,120,106,8.0,4.22755,0,1,0,2,light purple
3111,95,89,10.667,3.94694,0,0,0,2,light purple
3112,45,37,104.667,4.19102,0,2,1,0,pink
3113,120,115,0.667,3.82792,0,0,0,2,light purple
3114,60,55,16.0,4.93193,0,0,0,0,pink
3115,120,111,6.0,4.73396,0,1,0,2,light purple
3116,120,111,0.667,3.98876,0,0,0,2,light purple
3117,120,98,18.667,4.15328,0,0,0,2,light purple
3118,120,104,21.333,4.96842,0,2,0,2,light purple
3119,120,114,34.0,4.24331,0,4,0,2,light purple
3120,120,117,30.667,4.0641,0,11,0,2,light purple
3121,120,113,32.667,4.80125,0,6,0,2,light purple
3122,120,114,94.0,3.63775,0,3,5,2,light purple
3123,84,82,114.0,4.62393,0,5,3,5,v.dark purple
3124,95,74,23.333,5.61062,0,2,0,2,light purple
3125,120,114,61.333,3.85381,0,17,0,2,light purple
3126,116,107,24.0,3.81288,0,0,0,2,light purple
3127,120,118,24.0,4.11713,0,2,0,2,light purple
3128,122,112,14.0,4.31848,0,2,0,2,light purple
3129,120,110,11.333,4.40018,0,0,0,2,light purple
3130,120,116,46.333,3.52006,0,0,1,2,light purple
3131,120,118,22.0,3.61488,0,1,0,2,light purple
3132,103,98,35.333,3.98838,0,4,0,2,light purple
3133,81,71,27.333,4.26374,0,3,0,0,pink
3134,56,39,39.5,5.28307,0,1,1,0,pink
3135,120,116,20.0,4.41855,0,1,0,2,light purple
3136,76,55,17.333,5.06805,0,0,0,0,pink
3137,90,89,114.0,4.03645,0,2,2,5,v.dark purple
3138,64,59,23.333,4.09683,0,2,0,0,pink
3139,133,108,36.667,3.96056,0,1,0,2,light purple
3140,60,51,134.667,4.93682,0,2,2,5,v.dark purple
3141,123,103,60.667,4.09797,0,7,0,2,light purple
3142,120,100,34.0,3.60332,0,8,0,2,light purple
3143,113,101,42.0,4.35575,0,7,0,2,light purple
3144,147,131,21.333,4.46278,0,3,0,2,light purple
3145,120,115,7.333,3.74336,0,0,0,2,light purple
3146,36,21,19.333,7.82051,0,0,0,0,pink
3147,158,148,82.0,3.97742,0,24,2,1,v.light purple
3148,120,86,36.0,4.64985,0,1,0,2,light purple
3149,60,50,34.667,4.69228,0,1,0,0,pink
3150,45,39,30.667,4.13275,0,0,0,0,pink
3151,72,70,11.333,5.69246,0,1,0,0,pink
3152,120,120,10.0,4.85828,0,0,0,2,light purple
3153,105,103,20.0,4.18843,0,4,1,2,light purple
3154,120,119,41.0,3.52466,0,1,1,2,light purple
3155,60,57,50.0,3.70648,0,4,0,0,pink
3156,120,96,24.667,4.99781,0,4,0,2,light purple
3157,120,115,40.667,4.40238,0,8,0,2,light purple
3158,220,209,12.667,3.48656,0,1,0,1,v.light purple
3159,182,173,14.667,5.32015,0,0,0,1,v.light purple
3160,213,88,87.0,3.96676,2,0,2,1,v.light purple
3161,242,165,620.333,3.67901,1,2,4,3,purple
3162,140,115,5.333,3.23916,0,0,0,2,light purple
3163,120,116,16.667,4.18554,0,2,0,2,light purple
3164,170,136,344.167,3.71614,0,2,2,3,purple
3165,80,77,11.333,4.20468,0,0,0,0,pink
3166,101,97,13.333,5.35101,0,0,0,2,light purple
3167,60,54,11.333,3.3975,0,0,1,0,pink
3168,154,131,5.333,3.80423,0,1,0,1,v.light purple
3169,120,112,13.333,4.28681,0,0,0,2,light purple
3170,120,116,2.0,4.12753,0,0,0,2,light purple
3171,264,253,34.0,4.49626,0,0,0,1,v.light purple
3172,120,116,62.0,7.26431,0,9,2,2,light purple
3173,96,89,43.333,5.05223,0,10,3,2,light purple
3174,100,90,42.0,4.1466,0,1,0,2,light purple
3175,73,39,12.0,7.02006,0,1,0,0,pink
3176,20,14,25.333,5.43254,0,0,0,0,pink
3177,40,37,28.667,5.9285,0,0,0,0,pink
3178,104,89,36.0,4.70585,0,4,0,2,light purple
3179,78,52,40.0,4.37499,0,6,2,0,pink
3180,90,75,31.333,3.36143,0,7,0,2,light purple
3181,120,65,24.0,5.6943,0,10,1,2,light purple
3182,223,207,38.667,5.31926,0,2,0,1,v.light purple
3183,24,24,197.667,4.70601,0,0,3,5,v.dark purple
3184,120,108,84.667,4.0493,0,9,0,2,light purple
3185,155,141,29.333,4.24098,0,0,1,1,v.light purple
3186,150,136,20.0,3.79151,0,0,0,1,v.light purple
3187,210,183,8.667,4.28711,0,0,0,1,v.light purple
3188,120,118,0.0,5.15938,0,0,0,2,light purple
3189,22,18,16.0,5.97539,0,1,0,0,pink
3190,34,30,9.333,5.01646,0,0,1,0,pink
3191,100,80,16.667,4.50219,0,0,0,2,light purple
3192,141,134,12.667,3.52923,0,0,0,2,light purple
3193,27,23,28.0,5.9248,0,1,0,0,pink
3194,61,56,8.667,5.03976,0,1,0,0,pink
3195,120,118,1.333,4.51393,0,0,0,2,light purple
3196,150,125,71.333,4.22282,0,7,1,1,v.light purple
3197,54,22,30.667,5.91486,0,0,0,0,pink
3198,72,50,24.667,4.78715,0,0,0,0,pink
3199,40,39,15.333,4.57898,0,1,0,0,pink
3200,120,111,7.333,3.74536,0,0,0,2,light purple
3201,60,55,18.667,4.83413,0,0,0,0,pink
3202,36,32,24.667,4.02602,0,2,0,0,pink
3203,108,95,60.667,4.01293,0,3,0,2,light purple
3204,40,37,19.333,5.45964,0,0,1,0,pink
3205,120,107,34.667,4.03509,0,1,0,2,light purple
3206,120,114,52.0,5.85683,0,0,3,2,light purple
3207,120,113,60.0,3.95322,0,10,1,2,light purple
3208,120,116,12.0,4.80067,0,1,0,2,light purple
3209,91,64,37.333,4.31853,0,4,0,2,light purple
3210,45,41,68.0,4.49617,0,0,0,0,pink
3211,120,117,32.667,4.77416,0,2,0,2,light purple
3212,120,120,8.0,5.07781,0,1,0,2,light purple
3213,148,139,25.333,4.4524,0,2,1,1,v.light purple
3214,120,94,37.333,4.4655,0,1,0,2,light purple
3215,126,54,20.0,3.81864,0,1,0,2,light purple
3216,33,21,54.667,4.2359,0,0,0,0,pink
3217,144,122,12.667,3.07104,0,0,0,2,light purple
3218,99,75,13.333,3.22151,0,0,0,2,light purple
3219,166,123,15.333,3.2333,3,0,0,1,v.light purple
3220,84,80,12.0,3.47947,0,0,0,2,light purple
3221,125,108,66.0,2.41988,0,0,1,2,light purple
3222,103,101,7.333,4.43575,0,0,0,2,light purple
3223,112,79,19.333,3.62209,0,0,1,2,light purple
3224,117,103,0.667,3.46002,0,0,0,2,light purple
3225,120,105,25.333,3.69492,0,0,0,2,light purple
3226,143,71,6.0,3.59631,0,0,0,2,light purple
3227,71,56,12.667,3.13685,0,0,0,0,pink
3228,148,130,24.0,3.23145,0,0,0,2,light purple
3229,60,58,3.333,3.03353,0,0,1,0,pink
3230,86,75,15.333,2.81354,0,1,0,2,light purple
3231,120,115,16.0,3.0026,0,1,0,2,light purple
3232,120,109,22.0,2.84063,0,0,0,2,light purple
3233,90,76,96.0,3.75359,3,2,2,2,light purple
3234,122,114,24.0,3.9171,0,8,0,2,light purple
3235,94,91,5.333,3.85797,0,0,0,2,light purple
3236,100,94,0.0,3.43682,0,0,0,2,light purple
3237,61,59,18.0,3.33583,0,0,0,0,pink
3238,138,117,22.667,2.88611,0,1,0,2,light purple
3239,170,136,18.0,7.15913,0,1,0,1,v.light purple
3240,100,86,0.0,3.45434,0,0,0,2,light purple
3241,88,85,0.0,3.23382,0,0,0,2,light purple
3242,100,88,42.667,2.88296,0,1,0,2,light purple
3243,119,92,23.333,3.35427,0,0,0,2,light purple
3244,238,183,21.333,3.29556,0,2,0,1,v.light purple
3245,149,136,30.667,3.24767,0,3,1,1,v.light purple
3246,121,112,23.333,4.33938,0,0,0,2,light purple
3247,120,99,58.0,2.99118,0,3,4,2,light purple
3248,225,209,25.333,3.2319,0,3,0,1,v.light purple
3249,100,83,24.667,3.17936,0,4,0,2,light purple
3250,67,61,5.333,3.60283,0,0,1,0,pink
3251,181,162,14.667,2.9413,0,0,1,1,v.light purple
3252,120,112,55.333,3.41661,4,4,1,2,light purple
3253,120,114,12.0,3.10292,0,0,0,2,light purple
3254,120,140,48.667,3.57151,0,2,0,2,light purple
3255,73,66,7.333,3.10541,0,1,0,0,pink
3256,138,113,18.667,3.63616,0,6,1,2,light purple
3257,210,136,18.0,3.28975,0,6,0,1,v.light purple
3258,108,93,13.333,3.17133,0,6,0,2,light purple
3259,104,90,19.333,2.97246,0,2,0,2,light purple
3260,149,141,28.0,4.07007,0,2,0,1,v.light purple
3261,73,66,0.0,3.48172,0,0,0,0,pink
3262,105,103,2.0,4.62718,0,0,0,2,light purple
3263,163,130,32.667,3.95065,0,0,1,1,v.light purple
3264,165,157,22.667,3.64127,0,1,0,1,v.light purple
3265,100,78,4.667,4.25044,0,0,0,2,light purple
3266,100,92,11.333,3.57676,0,0,0,2,light purple
3267,124,100,10.0,4.07564,0,3,0,2,light purple
3268,100,79,19.333,2.80449,0,4,0,2,light purple
3269,96,94,2.0,4.62908,0,0,0,2,light purple
3270,102,98,4.667,3.34464,0,0,1,2,light purple
3271,80,71,54.0,3.39198,0,4,3,0,pink
3272,152,136,52.667,3.2697,0,5,3,1,v.light purple
3273,104,86,22.667,7.17459,0,0,0,2,light purple
3274,156,146,20.667,3.32487,0,0,0,1,v.light purple
3275,100,71,25.333,3.53206,0,0,0,2,light purple
3276,100,91,15.333,2.69183,0,0,0,2,light purple
3277,120,103,27.333,3.46402,0,0,0,2,light purple
3278,65,55,4.0,4.1962,0,0,0,0,pink
3279,119,105,26.667,3.54547,0,1,0,2,light purple
3280,388,259,18.667,3.6833,0,0,0,4,dark purple
3281,138,122,8.667,4.16021,0,0,0,2,light purple
3282,240,187,34.0,3.97068,0,7,1,1,v.light purple
3283,100,82,6.0,3.56618,0,0,0,2,light purple
3284,88,81,6.0,3.84418,0,0,0,2,light purple
3285,174,153,14.667,3.52301,0,0,0,1,v.light purple
3286,150,135,14.0,4.62227,0,1,0,1,v.light purple
3287,89,80,9.333,3.57025,0,0,0,2,light purple
3288,100,85,8.667,3.92502,0,0,0,2,light purple
3289,100,89,10.0,3.66859,0,0,0,2,light purple
3290,130,114,0.667,4.17712,0,0,0,2,light purple
3291,100,83,13.333,4.63268,0,1,0,2,light purple
3292,116,102,10.0,3.12558,0,2,0,2,light purple
3293,50,48,2.0,3.73854,0,0,0,0,pink
3294,66,54,31.333,4.8378,0,0,0,0,pink
3295,100,89,114.5,3.72641,0,2,2,5,v.dark purple
3296,100,73,8.667,4.26778,0,0,0,2,light purple
3297,60,51,9.333,6.41442,0,0,0,0,pink
3298,120,107,256.333,3.26913,0,10,2,5,v.dark purple
3299,122,80,7.333,3.47852,0,0,0,2,light purple
3300,228,209,11.333,4.06161,0,2,0,1,v.light purple
3301,120,75,20.0,4.60684,0,0,0,2,light purple
3302,100,91,474.667,3.22306,0,0,1,3,purple
3303,157,138,3.333,3.86552,0,0,0,1,v.light purple
3304,100,98,22.667,3.22783,0,1,0,2,light purple
3305,100,84,7.333,3.36976,0,0,0,2,light purple
3306,47,43,2.667,3.14158,0,0,0,0,pink
3307,100,75,24.667,3.12216,0,2,0,2,light purple
3308,100,93,48.333,3.29268,0,1,1,2,light purple
3309,110,73,8.667,2.90623,0,0,0,2,light purple
3310,50,50,0.0,2.96916,0,0,0,0,pink
3311,179,139,14.0,3.13426,0,1,0,1,v.light purple
3312,100,94,41.333,3.41742,0,0,0,2,light purple
3313,100,85,8.667,3.55123,0,0,0,2,light purple
3314,50,42,7.333,3.86186,0,0,0,0,pink
3315,150,108,45.333,3.3099,0,0,0,2,light purple
3316,103,92,15.333,3.02891,0,3,0,2,light purple
3317,107,95,9.333,4.18496,0,0,0,2,light purple
3318,76,70,8.667,2.84408,0,0,0,0,pink
3319,78,73,17.333,3.31705,0,3,0,0,pink
3320,68,60,18.667,3.42446,0,2,0,0,pink
3321,165,148,300.167,3.16262,1,3,2,5,v.dark purple
3322,72,62,1.333,2.935,0,0,0,0,pink
3323,82,76,4.0,3.4155,0,3,0,0,pink
3324,120,114,83.0,2.66699,0,1,1,2,light purple
3325,186,171,117.833,3.61167,0,1,1,1,v.light purple
3326,81,74,2.667,3.3867,0,0,1,0,pink
3327,79,66,108.333,3.84941,3,0,1,5,v.dark purple
3328,159,110,105.333,4.51143,1,2,1,2,light purple
3329,60,54,2.667,3.39771,0,0,0,0,pink
3330,208,180,14.667,3.3601,0,2,0,1,v.light purple
3331,42,40,6.0,3.35434,0,0,0,0,pink
3332,130,84,17.333,3.27437,0,1,0,2,light purple
3333,116,59,10.0,1.76632,0,0,0,2,light purple
3334,102,94,45.333,5.17751,0,0,1,2,light purple
3335,104,102,18.667,3.51381,0,0,0,2,light purple
3336,83,76,5.333,3.35454,0,0,0,2,light purple
3337,144,126,2.0,3.20762,0,0,0,2,light purple
3338,82,82,0.667,3.24635,0,0,0,2,light purple
3339,163,139,20.0,3.76727,0,0,0,1,v.light purple
3340,159,145,53.333,3.38842,0,0,0,1,v.light purple
3341,60,57,6.0,3.09825,0,0,0,0,pink
3342,148,130,15.333,2.86712,0,0,0,2,light purple
3343,98,86,8.0,3.29301,0,2,0,2,light purple
3344,90,83,13.333,2.88628,0,0,0,2,light purple
3345,60,60,8.667,3.45116,0,0,0,0,pink
3346,100,97,6.667,3.47657,0,0,0,2,light purple
3347,62,57,14.0,3.31922,0,3,0,0,pink
3348,117,112,1.333,3.44452,0,0,0,2,light purple
3349,200,189,3.333,3.56054,0,0,0,1,v.light purple
3350,100,77,9.333,4.78176,0,0,0,2,light purple
3351,125,107,22.667,3.66278,0,0,0,2,light purple
3352,118,110,4.0,3.31004,0,2,2,2,light purple
3353,98,94,4.0,2.91336,0,0,0,2,light purple
3354,92,78,21.333,3.51216,0,0,0,2,light purple
3355,117,89,19.333,3.77723,0,0,0,2,light purple
3356,87,69,5.333,3.37329,1,2,0,0,pink
3357,70,64,23.333,3.31887,0,0,0,0,pink
3358,63,60,30.667,3.25254,0,3,0,0,pink
3359,92,70,10.0,2.77019,0,0,0,2,light purple
3360,200,188,40.0,2.5657,1,14,0,1,v.light purple
3361,134,124,75.333,4.19202,3,39,0,2,light purple
3362,171,117,16.667,3.60927,0,0,0,1,v.light purple
3363,112,105,212.0,3.28058,0,2,1,5,v.dark purple
3364,110,103,28.0,3.69515,0,1,0,2,light purple
3365,71,61,8.667,1.48752,0,0,0,0,pink
3366,62,56,8.0,3.42291,0,0,0,0,pink
3367,104,99,9.333,3.35388,0,0,0,2,light purple
3368,74,70,11.333,3.31587,0,0,0,0,pink
3369,148,133,20.0,4.30363,0,3,0,2,light purple
3370,103,84,41.333,3.75445,0,1,1,2,light purple
3371,117,113,11.333,3.2833,0,1,0,2,light purple
3372,124,121,8.0,3.50426,0,1,0,2,light purple
3373,92,88,26.667,3.63558,0,0,0,2,light purple
3374,150,122,25.333,3.57653,0,4,0,2,light purple
3375,58,57,10.667,3.26478,0,0,0,0,pink
3376,122,86,145.667,3.91954,1,10,4,5,v.dark purple
3377,271,230,107.5,3.90985,2,2,1,1,v.light purple
3378,117,104,0.0,3.5575,0,0,0,2,light purple
3379,160,156,21.333,3.71814,0,0,0,1,v.light purple
3380,100,69,20.667,4.302,0,0,0,2,light purple
3381,100,89,21.333,3.3836,0,1,0,2,light purple
3382,85,71,124.667,3.93545,0,6,0,5,v.dark purple
3383,151,146,0.0,3.49371,0,0,0,1,v.light purple
3384,210,148,12.0,3.82571,0,0,0,1,v.light purple
3385,163,70,104.667,4.70762,3,39,0,5,v.dark purple
3386,85,74,9.333,3.16919,0,0,0,2,light purple
3387,268,189,50.0,3.78356,0,2,0,1,v.light purple
3388,120,107,5.333,2.74358,0,1,0,2,light purple
3389,100,97,18.0,2.92845,0,3,0,2,light purple
